"Account Name","Parent Account","Account Number","Parent Account Number","Is Group","Account Type","Root Type","Account Currency"
"Amort. acum. Muebles y Útiles","Amortización acumulada","129003","1290","0","Accumulated Depreciation","Asset","ARS"
"Amort. acum. Equipamiento deportivo","Amortización acumulada","129004","1290","0","Accumulated Depreciation","Asset","ARS"
"Pasivo Corriente","PASIVO","2100","","1","","Liability","ARS"
"Proveedores","Pasivo Corriente","2110","2100","0","Payable","Liability","ARS"
"Remuneraciones y cargas a pagar","Pasivo Corriente","2120","2100","1","","Liability","ARS"
"Sueldos a pagar","Remuneraciones y cargas a pagar","212001","2120","0","","Liability","ARS"
"Cargas sociales a pagar","Remuneraciones y cargas a pagar","212002","2120","0","","Liability","ARS"
"Impuestos y tasas a pagar","Pasivo Corriente","2130","2100","0","","Liability","ARS"
"Anticipos de clientes","Pasivo Corriente","2140","2100","0","","Liability","ARS"
"Patrimonio Neto","PATRIMONIO NETO","3000","","1","","Equity","ARS"
"Capital Social","Patrimonio Neto","3110","3000","0","","Equity","ARS"
"Ajustes de capital","Patrimonio Neto","3120","3000","0","","Equity","ARS"
"Reserva legal","Patrimonio Neto","3210","3000","0","","Equity","ARS"
"Resultados acumulados","Patrimonio Neto","3310","3000","0","","Equity","ARS"
"Resultado del ejercicio","Patrimonio Neto","3320","3000","0","","Equity","ARS"
"Ingresos operativos","INGRESOS","4000","","1","Income Account","Income","ARS"
"Cuotas y membresías","Ingresos operativos","4110","4000","1","Income Account","Income","ARS"
"Cuota social","Cuotas y membresías","411001","4110","0","Income Account","Income","ARS"
"Inscripciones / matrículas","Cuotas y membresías","411002","4110","0","Income Account","Income","ARS"
"Aranceles de actividades y deportes","Ingresos operativos","4120","4000","1","Income Account","Income","ARS"
"Arancel mensual actividad","Aranceles de actividades y deportes","412001","4120","0","Income Account","Income","ARS"
"Packs CLASES","Aranceles de actividades y deportes","412002","4120","0","Income Account","Income","ARS"
"Cuotas federativas","Ingresos operativos","4130","4000","1","Income Account","Income","ARS"
"Cuota federativa","Cuotas federativas","413001","4130","0","Income Account","Income","ARS"
"Alquileres","Ingresos operativos","4210","4000","1","Income Account","Income","ARS"
"Alquiler canchas / espacios (ARS)","Alquileres","421001","4210","0","Income Account","Income","ARS"
"Alquiler canchas / espacios (USD)","Alquileres","421002","4210","0","Income Account","Income","USD"
"Actividades (no recurrentes)","Ingresos operativos","4310","4000","1","Income Account","Income","ARS"
"Colonias","Actividades (no recurrentes)","431002","4310","0","Income Account","Income","ARS"
"Eventos","Actividades (no recurrentes)","431003","4310","0","Income Account","Income","ARS"
"Gastronomía","Ingresos operativos","4410","4000","1","Income Account","Income","ARS"
"Ventas mostrador (POS)","Gastronomía","441001","4410","0","Income Account","Income","ARS"
"Comercial","Ingresos operativos","4510","4000","1","Income Account","Income","ARS"
"Sponsors / Publicidad","Comercial","451001","4510","0","Income Account","Income","ARS"
"Venta indumentaria","Comercial","451002","4510","0","Income Account","Income","ARS"
"Otros ingresos","INGRESOS","4900","","1","Income Account","Income","ARS"
"Otros ingresos (uso restringido)","Otros ingresos","491001","4900","0","Income Account","Income","ARS"
"Personal","EGRESOS","5100","","1","Expense Account","Expense","ARS"
"Sueldos","Personal","511001","5100","0","Expense Account","Expense","ARS"
"Cargas sociales","Personal","512001","5100","0","Expense Account","Expense","ARS"
"Honorarios profesionales y servicios","Personal","513001","5100","0","Expense Account","Expense","ARS"
"Servicios","EGRESOS","5200","","1","Expense Account","Expense","ARS"
"Electricidad","Servicios","521001","5200","0","Expense Account","Expense","ARS"
"Agua","Servicios","522001","5200","0","Expense Account","Expense","ARS"
"Gas","Servicios","523001","5200","0","Expense Account","Expense","ARS"
"Telecomunicaciones (Internet / Telefonía)","Servicios","524001","5200","0","Expense Account","Expense","ARS"
"Mantenimiento / Operación","EGRESOS","5300","","1","Expense Account","Expense","ARS"
"Mantenimiento edilicio","Mantenimiento / Operación","531001","5300","0","Expense Account","Expense","ARS"
"Limpieza","Mantenimiento / Operación","532001","5300","0","Expense Account","Expense","ARS"
"Seguridad","Mantenimiento / Operación","533001","5300","0","Expense Account","Expense","ARS"
"Deportes y actividades (naturaleza)","EGRESOS","5400","","1","Expense Account","Expense","ARS"
"Insumos deportivos","Deportes y actividades (naturaleza)","541001","5400","0","Expense Account","Expense","ARS"
"Arbitrajes / Jueces","Deportes y actividades (naturaleza)","542001","5400","0","Expense Account","Expense","ARS"
"Afiliaciones / Federaciones","Deportes y actividades (naturaleza)","543000","5400","1","Expense Account","Expense","ARS"
"Gastos federativos (afiliaciones/cuotas federación)","Afiliaciones / Federaciones","543001","543000","0","Expense Account","Expense","ARS"
"Traslados / Logística","Deportes y actividades (naturaleza)","544001","5400","0","Expense Account","Expense","ARS"
"Impuestos y tasas","EGRESOS","5500","","1","Expense Account","Expense","ARS"
"Impuestos","Impuestos y tasas","551001","5500","0","Expense Account","Expense","ARS"
"Tasas / contribuciones","Impuestos y tasas","552001","5500","0","Expense Account","Expense","ARS"
"Seguros","EGRESOS","5600","","1","Expense Account","Expense","ARS"
"Seguros","Seguros","561001","5600","0","Expense Account","Expense","ARS"
"Administración","EGRESOS","5700","","1","Expense Account","Expense","ARS"
"Librería / Papelería","Administración","571001","5700","0","Expense Account","Expense","ARS"
"Comisiones bancarias y medios de pago","Administración","572001","5700","0","Expense Account","Expense","ARS"
"Comisiones Cobros Plus (ARS)","Administración","572002","5700","0","Expense Account","Expense","ARS"
"Software / Servicios digitales","Administración","573001","5700","0","Expense Account","Expense","ARS"
"Gastos administrativos varios (evitar)","Administración","574001","5700","0","Expense Account","Expense","ARS"
"Depreciaciones","EGRESOS","5800","","1","Depreciation","Expense","ARS"
"Amortizaciones","Depreciaciones","581001","5800","0","Depreciation","Expense","ARS"
